Feature,Importance
Average Packet Size,0.08412972549925776
Bwd Packet Length Std,0.08087252985649762
Packet Length Variance,0.0787230460549828
Max Packet Length,0.06755841001242555
Packet Length Std,0.06706287426526283
Destination Port,0.05248475653852494
Packet Length Mean,0.04843504809010132
Bwd Packet Length Mean,0.044284210269041106
Fwd Packet Length Mean,0.03904438059909109
Init_Win_bytes_forward,0.03478635987286392
Subflow Fwd Bytes,0.033236780934038146
Fwd Packet Length Max,0.031969124487180395
Init_Win_bytes_backward,0.024738446054408756
Fwd Header Length,0.021817284287886013
Bwd Packet Length Min,0.020929291973074426
Fwd Packet Length Min,0.020021778610733232
Bwd Packet Length Max,0.019946196625650878
Bwd Header Length,0.01743599348279236
Fwd IAT Std,0.015467670238179337
Total Length of Fwd Packets,0.013443583802216809
Total Fwd Packets,0.012782623291787063
Flow IAT Max,0.011154018738395964
Min Packet Length,0.010173537912607458
ACK Flag Count,0.009058560086492124
Fwd IAT Min,0.008980320693613372
Flow IAT Mean,0.008391110134808947
Fwd IAT Mean,0.008268963928757344
Fwd IAT Total,0.008133738361544914
Flow IAT Std,0.007878693632741842
PSH Flag Count,0.007645498937354685
act_data_pkt_fwd,0.007375373770150039
Idle Max,0.007274598459496416
Bwd Packets/s,0.006352821464297717
Idle Min,0.005889136806768096
Flow IAT Min,0.00557133916568527
Fwd IAT Max,0.005559556872836934
Flow Packets/s,0.004895589379038029
Fwd Packet Length Std,0.004678218112151593
Flow Bytes/s,0.004525662656959897
Bwd IAT Std,0.004438913657401148
Bwd IAT Max,0.0040191042843754285
Fwd Packets/s,0.003993815142450559
Bwd IAT Mean,0.0036045788655446305
Bwd IAT Min,0.00352590589601912
min_seg_size_forward,0.0033740744251931957
Flow Duration,0.0031765758668705667
Idle Mean,0.003081051061835381
Active Mean,0.0024965148050582267
Bwd IAT Total,0.0023229966408961655
Active Max,0.00191888882473544
Active Min,0.0016142095015158396
FIN Flag Count,0.0014565170684071396
